"CubeId";"gdppr"
"PublishingDate";"2026-01-21 09:00"

"Date";"D0";"D1";"Value"
"2021-Q2";"VVP";"BBIP";"2.76051236"
"2021-Q3";"WMF";"BBIP";"191238.77216116"
"2021-Q3";"VVP";"BBIP";"2.16235541"
"2021-Q4";"WMF";"BBIP";"192623.24018488"
"2021-Q4";"VVP";"BBIP";"0.72394735"
"2022-Q1";"WMF";"BBIP";"193105.75724592"
"2022-Q1";"VVP";"BBIP";"0.25049784"
"2022-Q2";"WMF";"BBIP";"194930.31453918"
"2022-Q2";"VVP";"BBIP";"0.94484873"
"2022-Q3";"WMF";"BBIP";"195981.40782685"
"2022-Q3";"VVP";"BBIP";"0.53921489"
"2022-Q4";"WMF";"BBIP";"196271.62918179"
"2022-Q4";"VVP";"BBIP";"0.14808617"
"2023-Q1";"WMF";"BBIP";"196699.23620173"
"2023-Q1";"VVP";"BBIP";"0.21786492"
"2023-Q2";"WMF";"BBIP";"196050.94634811"
"2023-Q2";"VVP";"BBIP";"-0.32958433"
"2023-Q3";"WMF";"BBIP";"196899.97961875"
"2023-Q3";"VVP";"BBIP";"0.43306767"
"2023-Q4";"WMF";"BBIP";"197474.73244182"
"2023-Q4";"VVP";"BBIP";"0.29190091"
"2024-Q1";"WMF";"BBIP";"197523.14085488"
"2024-Q1";"VVP";"BBIP";"0.02451373"
"2024-Q2";"WMF";"BBIP";"199512.86429714"
"2024-Q2";"VVP";"BBIP";"1.00733688"
"2024-Q3";"WMF";"BBIP";"200356.97310232"
"2024-Q3";"VVP";"BBIP";"0.4230849"
"2024-Q4";"WMF";"BBIP";"200662.07273633"
"2024-Q4";"VVP";"BBIP";"0.15227802"
"2025-Q1";"WMF";"BBIP";"202116.5764139"
"2025-Q1";"VVP";"BBIP";"0.72485231"
"2025-Q2";"WMF";"BBIP";"202425.65038761"
"2025-Q2";"VVP";"BBIP";"0.15291867"
"2025-Q3";"WMF";"BBIP";"201346.3178332"
"2025-Q3";"VVP";"BBIP";"-0.5331995"
