"CubeId";"plimoinchq"
"PublishingDate";"2026-01-21 09:00"

"Date";"D0";"D1";"Value"
"1974-Q3";"VF";"AP";
"1974-Q4";"EW";"TP3";
"1974-Q4";"EW";"TP1";
"1974-Q4";"EW";"TP2";
"1974-Q4";"EW";"AP";"50.94604562"
"1974-Q4";"EW";"TP";
"1974-Q4";"EH";"TP3";
"1974-Q4";"EH";"TP1";
"1974-Q4";"EH";"TP2";
"1974-Q4";"EH";"AP";"60.21000398"
"1974-Q4";"EH";"TP";
"1974-Q4";"MH";"TP1";
"1974-Q4";"MH";"TP2";
"1974-Q4";"MH";"TP";
"1974-Q4";"MW";"AP";"54.68854564"
"1974-Q4";"BF";"AP";"67.46243371"
"1974-Q4";"GF";"AP";"66.09112011"
"1974-Q4";"VF";"AP";
"1975-Q1";"EW";"TP3";
"1975-Q1";"EW";"TP1";
"1975-Q1";"EW";"TP2";
"1975-Q1";"EW";"AP";"50.60391871"
"1975-Q1";"EW";"TP";
"1975-Q1";"EH";"TP3";
"1975-Q1";"EH";"TP1";
"1975-Q1";"EH";"TP2";
"1975-Q1";"EH";"AP";"56.56432152"
"1975-Q1";"EH";"TP";
"1975-Q1";"MH";"TP1";
"1975-Q1";"MH";"TP2";
"1975-Q1";"MH";"TP";
"1975-Q1";"MW";"AP";"53.48196715"
"1975-Q1";"BF";"AP";"66.32815463"
"1975-Q1";"GF";"AP";"57.19295939"
"1975-Q1";"VF";"AP";
"1975-Q2";"EW";"TP3";
"1975-Q2";"EW";"TP1";
"1975-Q2";"EW";"TP2";
"1975-Q2";"EW";"AP";"50.43085622"
"1975-Q2";"EW";"TP";
"1975-Q2";"EH";"TP3";
"1975-Q2";"EH";"TP1";
"1975-Q2";"EH";"TP2";
"1975-Q2";"EH";"AP";"55.44160142"
"1975-Q2";"EH";"TP";
"1975-Q2";"MH";"TP1";
"1975-Q2";"MH";"TP2";
"1975-Q2";"MH";"TP";
"1975-Q2";"MW";"AP";"52.75254762"
"1975-Q2";"BF";"AP";"64.51553716"
"1975-Q2";"GF";"AP";"66.55412899"
"1975-Q2";"VF";"AP";
"1975-Q3";"EW";"TP3";
"1975-Q3";"EW";"TP1";
"1975-Q3";"EW";"TP2";
"1975-Q3";"EW";"AP";"49.34171379"
"1975-Q3";"EW";"TP";
"1975-Q3";"EH";"TP3";
"1975-Q3";"EH";"TP1";
"1975-Q3";"EH";"TP2";
"1975-Q3";"EH";"AP";"55.41744704"
"1975-Q3";"EH";"TP";
"1975-Q3";"MH";"TP1";
"1975-Q3";"MH";"TP2";
"1975-Q3";"MH";"TP";
"1975-Q3";"MW";"AP";"51.4445984"
"1975-Q3";"BF";"AP";"67.23842807"
"1975-Q3";"GF";"AP";"57.31370478"
"1975-Q3";"VF";"AP";
"1975-Q4";"EW";"TP3";
"1975-Q4";"EW";"TP1";
"1975-Q4";"EW";"TP2";
"1975-Q4";"EW";"AP";"49.55170369"
"1975-Q4";"EW";"TP";
"1975-Q4";"EH";"TP3";
"1975-Q4";"EH";"TP1";
"1975-Q4";"EH";"TP2";
"1975-Q4";"EH";"AP";"54.77692806"
"1975-Q4";"EH";"TP";
"1975-Q4";"MH";"TP1";
"1975-Q4";"MH";"TP2";
"1975-Q4";"MH";"TP";
"1975-Q4";"MW";"AP";"50.6629263"
"1975-Q4";"BF";"AP";"62.20486486"
"1975-Q4";"GF";"AP";"51.34805663"
"1975-Q4";"VF";"AP";
"1976-Q1";"EW";"TP3";
"1976-Q1";"EW";"TP1";
"1976-Q1";"EW";"TP2";
"1976-Q1";"EW";"AP";"48.78569584"
"1976-Q1";"EW";"TP";
"1976-Q1";"EH";"TP3";
"1976-Q1";"EH";"TP1";
"1976-Q1";"EH";"TP2";
"1976-Q1";"EH";"AP";"53.24038204"
"1976-Q1";"EH";"TP";
"1976-Q1";"MH";"TP1";
"1976-Q1";"MH";"TP2";
"1976-Q1";"MH";"TP";
"1976-Q1";"MW";"AP";"49.56983761"
"1976-Q1";"BF";"AP";"62.03286772"
"1976-Q1";"GF";"AP";"57.86949587"
"1976-Q1";"VF";"AP";
"1976-Q2";"EW";"TP3";
"1976-Q2";"EW";"TP1";
"1976-Q2";"EW";"TP2";
"1976-Q2";"EW";"AP";"49.01958607"
"1976-Q2";"EW";"TP";
"1976-Q2";"EH";"TP3";
"1976-Q2";"EH";"TP1";
"1976-Q2";"EH";"TP2";
"1976-Q2";"EH";"AP";"53.55098759"
"1976-Q2";"EH";"TP";
"1976-Q2";"MH";"TP1";
"1976-Q2";"MH";"TP2";
"1976-Q2";"MH";"TP";
"1976-Q2";"MW";"AP";"48.83405233"
"1976-Q2";"BF";"AP";"59.16356822"
"1976-Q2";"GF";"AP";"54.85665391"
"1976-Q2";"VF";"AP";
"1976-Q3";"EW";"TP3";
"1976-Q3";"EW";"TP1";
"1976-Q3";"EW";"TP2";
