"REGION","CANTON","PERIOD","VALUE","STATUS","OBS_COEF"
"2","24","2023-08","2.60033981074117","A","A"
"2","26","2023-08","3.24786324786325","A","B"
"3","Total","2023-08","2.19263074155839","A","A"
"3","12","2023-08","3.01374203001861","A","A"
"3","13","2023-08","1.74595798767237","A","A"
"3","19","2023-08","2.14622990302749","A","A"
"4","Total","2023-08","1.73349860479866","A","A"
"4","1","2023-08","1.73349860479866","A","A"
"5","Total","2023-08","1.44627583971274","A","A"
"5","8","2023-08","1.22001370801919","A","B"
"5","14","2023-08","2.50944787538022","A","B"
"5","15","2023-08","1.07414288127006","A","B"
"5","16","2023-08","0.633859628903999","A","C"
"5","17","2023-08","1.50579025100115","A","A"
"5","18","2023-08","0.611083207768291","A","A"
"5","20","2023-08","1.77297578755532","A","A"
"6","Total","2023-08","1.08023741481644","A","A"
"6","3","2023-08","1.14395159535106","A","A"
"6","4","2023-08","0.709513698275416","A","C"
"6","5","2023-08","0.760435168738899","A","A"
"6","6","2023-08","0.480052199850858","A","C"
"6","7","2023-08","0.621838985158776","A","B"
"6","9","2023-08","1.72499750722904","A","B"
"7","Total","2023-08","2.10467679042844","A","A"
"7","21","2023-08","2.10467679042844","A","A"
"Total","Total","2023-07","1.90550499765186","A","A"
"1","Total","2023-07","3.0469394666425","A","A"
"1","22","2023-07","3.16430940987295","A","A"
"1","23","2023-07","1.92785153105763","A","A"
"1","25","2023-07","3.64694213276563","A","A"
"2","Total","2023-07","1.66142949079555","A","A"
"2","2","2023-07","1.28479274856685","A","A"
"2","10","2023-07","1.96519522169732","A","A"
"2","11","2023-07","1.8376341553679","A","A"
"2","24","2023-07","2.50694811697591","A","A"
"2","26","2023-07","3.2285635511442","A","B"
"3","Total","2023-07","2.13959610610761","A","A"
"3","12","2023-07","2.95928874103996","A","A"
"3","13","2023-07","1.68855662917356","A","A"
"3","19","2023-07","2.09526123423404","A","A"
"4","Total","2023-07","1.68778275829743","A","A"
"4","1","2023-07","1.68778275829743","A","A"
"5","Total","2023-07","1.41837892427","A","A"
"5","8","2023-07","1.15147361206306","A","B"
"5","14","2023-07","2.36427320490368","A","B"
"5","15","2023-07","1.0032089174126","A","B"
"5","16","2023-07","0.599285467327417","A","C"
"5","17","2023-07","1.48484640578339","A","A"
"5","18","2023-07","0.637126327734063","A","A"
"5","20","2023-07","1.74238479562614","A","A"
"6","Total","2023-07","1.06287096065069","A","A"
"6","3","2023-07","1.14090454011231","A","A"
"6","4","2023-07","0.554145735149412","A","C"
"6","5","2023-07","0.742673179396092","A","A"
"6","6","2023-07","0.540641312453393","A","C"
"6","7","2023-07","0.638421358096344","A","B"
"6","9","2023-07","1.66374656353717","A","B"
"7","Total","2023-07","2.06289810845504","A","A"
"7","21","2023-07","2.06289810845504","A","A"
"Total","Total","2023-06","1.85108126385744","A","A"
"1","Total","2023-06","2.91064282409505","A","A"
"1","22","2023-06","3.0095465278549","A","A"
"1","23","2023-06","1.85416123436915","A","A"
"1","25","2023-06","3.49695180956067","A","A"
"2","Total","2023-06","1.61018329453453","A","A"
"2","2","2023-06","1.26156929788363","A","A"
"2","10","2023-06","1.88501848679391","A","A"
"2","11","2023-06","1.7777478720183","A","A"
"2","24","2023-06","2.36629797576317","A","A"
"2","26","2023-06","3.13757926661152","A","B"
"3","Total","2023-06","2.14886119302371","A","A"
"3","12","2023-06","2.87414359827334","A","A"
"3","13","2023-06","1.73229099755361","A","A"
"3","19","2023-06","2.11638814357848","A","A"
"4","Total","2023-06","1.60653586147751","A","A"
"4","1","2023-06","1.60653586147751","A","A"
"5","Total","2023-06","1.40622272647932","A","A"
"5","8","2023-06","1.16518163125428","A","B"
"5","14","2023-06","2.33431652686884","A","B"
"5","15","2023-06","1.05725384225638","A","B"
"5","16","2023-06","0.46098882102109","A","C"
"5","17","2023-06","1.4480141262625","A","A"
"5","18","2023-06","0.71339546477668","A","A"
"5","20","2023-06","1.70853944285342","A","A"
"6","Total","2023-06","1.04000879314135","A","A"
"6","3","2023-06","1.16832803726113","A","A"
"6","4","2023-06","0.569682531462013","A","C"
"6","5","2023-06","0.671625222024867","A","A"
"6","6","2023-06","0.55462341536167","A","C"
"6","7","2023-06","0.588674239283641","A","B"
"6","9","2023-06","1.52557583009273","A","B"
"7","Total","2023-06","2.05260480999782","A","A"
"7","21","2023-06","2.05260480999782","A","A"
"Total","Total","2023-05","1.9158372412779","A","A"
"1","Total","2023-05","3.00448836887619","A","A"
"1","22","2023-05","3.05542008102718","A","A"
"1","23","2023-05","2.02364891675264","A","A"
"1","25","2023-05","3.61710534804206","A","A"
"2","Total","2023-05","1.70562436935398","A","A"
"2","2","2023-05","1.3523193974765","A","A"
"2","10","2023-05","1.97327057629191","A","A"
"2","11","2023-05","1.87867981024796","A","A"
"2","24","2023-05","2.5035725135868","A","A"
"2","26","2023-05","3.21477805348773","A","B"
"3","Total","2023-05","2.19406842745916","A","A"
"3","12","2023-05","2.87711377767217","A","A"
"3","13","2023-05","1.74664133717831","A","A"
"3","19","2023-05","2.18478651258107","A","A"
"4","Total","2023-05","1.62297041895391","A","A"
"4","1","2023-05","1.62297041895391","A","A"
"5","Total","2023-05","1.50658928259731","A","A"
"5","8","2023-05","1.44848069453964","A","B"
"5","14","2023-05","2.34583832611301","A","B"
"5","15","2023-05","1.087654112481","A","B"
"5","16","2023-05","0.449464100495563","A","C"
"5","17","2023-05","1.48412420422416","A","A"
"5","18","2023-05","1.04823557862232","A","A"
"5","20","2023-05","1.77948450924238","A","A"
"6","Total","2023-05","1.06506924598813","A","A"
"6","3","2023-05","1.16397510120576","A","A"
"6","4","2023-05","0.807913408255218","A","C"
"6","5","2023-05","0.716030195381883","A","A"
"6","6","2023-05","0.568605518269948","A","C"
"6","7","2023-05","0.592819832518033","A","B"
"6","9","2023-05","1.57400680882583","A","B"
"7","Total","2023-05","2.08045726464676","A","A"
"7","21","2023-05","2.08045726464676","A","A"
"Total","Total","2023-04","1.96930388303117","A","A"
"1","Total","2023-04","3.06184504872337","A","A"
"1","22","2023-04","3.11916017596129","A","A"
"1","23","2023-04","2.09960660718537","A","A"
